Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,20,3.0,3,30,10,33.3,10.0,3.33,0.07,0.2,17.8,1,1,1,3.3,2.5,0.08,-0.3,-0.5
Athletic Club,19,3.0,5,38,11,28.9,12.67,3.67,0.08,0.27,18.8,0,2,2,5.4,3.9,0.1,-0.4,-0.9
Atlético Madrid,19,3.0,3,43,16,37.2,14.33,5.33,0.07,0.19,17.6,1,0,0,3.9,3.9,0.09,-0.9,-0.9
Barcelona,20,3.0,6,61,20,32.8,20.33,6.67,0.08,0.25,18.4,2,1,1,5.8,5.0,0.08,0.2,0.0
Betis,20,4.0,4,44,12,27.3,11.0,3.0,0.09,0.33,18.4,2,0,0,4.7,4.7,0.11,-0.7,-0.7
Celta Vigo,22,4.0,3,43,12,27.9,10.75,3.0,0.07,0.25,19.3,1,0,0,3.3,3.3,0.08,-0.3,-0.3
Elche,19,3.0,4,28,9,32.1,9.33,3.0,0.14,0.44,16.7,0,0,0,2.3,2.3,0.08,1.7,1.7
Espanyol,19,3.0,5,32,11,34.4,10.67,3.67,0.13,0.36,21.2,2,1,1,4.3,3.5,0.11,0.7,0.5
Getafe,15,3.0,4,30,10,33.3,10.0,3.33,0.13,0.4,19.5,2,0,0,2.9,2.9,0.1,1.1,1.1
Girona,21,3.0,1,32,9,28.1,10.67,3.0,0.03,0.11,18.6,0,0,0,2.7,2.7,0.09,-1.7,-1.7
Levante,20,3.0,3,25,8,32.0,8.33,2.67,0.08,0.25,20.0,2,1,1,3.4,2.8,0.12,-0.4,-0.8
Mallorca,21,3.0,2,25,8,32.0,8.33,2.67,0.08,0.25,15.9,0,0,0,1.6,1.6,0.06,0.4,0.4
Osasuna,18,3.0,1,28,7,25.0,9.33,2.33,0.04,0.14,18.6,2,0,0,2.6,2.6,0.09,-1.6,-1.6
Oviedo,20,3.0,1,18,7,38.9,6.0,2.33,0.06,0.14,20.7,0,0,1,1.9,1.1,0.06,-0.9,-0.1
Rayo Vallecano,19,3.0,4,33,10,30.3,11.0,3.33,0.09,0.3,17.6,1,1,1,5.5,4.8,0.15,-1.5,-1.8
Real Madrid,17,3.0,6,60,21,35.0,20.0,7.0,0.08,0.24,20.0,2,1,1,6.1,5.3,0.09,-0.1,-0.3
Real Sociedad,20,3.0,3,46,16,34.8,15.33,5.33,0.07,0.19,18.5,2,0,0,2.9,2.9,0.06,0.1,0.1
Sevilla,21,3.0,4,37,13,35.1,12.33,4.33,0.11,0.31,17.2,0,0,0,2.8,2.8,0.08,1.2,1.2
Valencia,18,3.0,4,29,7,24.1,9.67,2.33,0.14,0.57,18.1,0,0,0,3.5,3.5,0.12,0.5,0.5
Villarreal,19,3.0,8,52,20,38.5,17.33,6.67,0.15,0.4,15.9,0,0,0,5.7,5.7,0.11,2.3,2.3
