Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alavés,20,3.0,56,18.67,43,4,2,3,4,0,6,2.0,4,0,0,0,2,0
Athletic Club,19,3.0,66,22.0,49,6,4,4,2,1,10,3.33,4,1,1,1,2,1
Atlético Madrid,19,3.0,79,26.33,62,4,8,1,2,2,6,2.0,3,0,1,1,1,0
Barcelona,20,3.0,114,38.0,87,7,7,7,4,2,10,3.33,6,1,1,1,1,0
Betis,20,4.0,79,19.75,60,5,7,2,1,4,7,1.75,3,1,1,2,0,0
Celta Vigo,22,4.0,78,19.5,63,7,2,4,1,1,5,1.25,4,0,0,1,0,0
Elche,19,3.0,51,17.0,39,6,2,1,3,0,6,2.0,4,0,2,0,0,0
Espanyol,19,3.0,58,19.33,41,5,4,1,7,0,10,3.33,7,1,0,0,2,0
Getafe,15,3.0,55,18.33,34,9,5,3,3,1,8,2.67,6,0,2,0,0,0
Girona,21,3.0,53,17.67,31,6,4,8,4,0,2,0.67,1,0,1,0,0,0
Levante,20,3.0,44,14.67,30,3,3,4,4,0,4,1.33,1,0,1,2,0,0
Mallorca,21,3.0,42,14.0,29,7,0,2,3,1,4,1.33,3,1,0,0,0,0
Osasuna,18,3.0,48,16.0,39,5,0,2,2,0,2,0.67,2,0,0,0,0,0
Oviedo,20,3.0,31,10.33,22,2,1,1,2,3,2,0.67,1,0,0,0,0,1
Rayo Vallecano,19,3.0,51,17.0,34,5,1,5,3,3,5,1.67,1,1,0,1,1,1
Real Madrid,17,3.0,116,38.67,99,2,6,4,3,2,10,3.33,8,0,0,0,1,1
Real Sociedad,20,3.0,82,27.33,60,9,3,5,3,2,6,2.0,6,0,0,0,0,0
Sevilla,21,3.0,66,22.0,52,4,4,3,3,0,8,2.67,7,0,1,0,0,0
Valencia,18,3.0,44,14.67,34,3,1,6,0,0,7,2.33,6,1,0,0,0,0
Villarreal,19,3.0,95,31.67,76,8,4,5,2,0,12,4.0,10,0,1,1,0,0
